trialnum,filename,facehouse,girlboy
370,visual\face_house\houses\house2.3.jpg,0,1
371,visual\face_house\houses\house11.3.jpg,0,1
372,visual\face_house\houses\house9.3.jpg,0,1
373,visual\face_house\houses\house12.3.jpg,0,1
374,visual\face_house\houses\house5.3.jpg,0,1
375,visual\face_house\houses\house3.3.jpg,0,1
376,visual\face_house\houses\house2.3.jpg,0,1
377,visual\face_house\houses\house6.3.jpg,0,1
378,visual\face_house\faces\Janie_3.jpg,1,0
379,visual\face_house\houses\house12.3.jpg,0,0
380,visual\face_house\faces\Janie_3.jpg,1,0
381,visual\face_house\houses\house3.3.jpg,0,0
382,visual\face_house\faces\Tim_3.jpg,1,1
383,visual\face_house\houses\house11.3.jpg,0,1
384,visual\face_house\houses\house9.3.jpg,0,1
385,visual\face_house\faces\Don_3.jpg,1,1
386,visual\face_house\faces\Tom_3.jpg,1,1
387,visual\face_house\faces\Frank_3.jpg,1,1
388,visual\face_house\houses\house11.3.jpg,0,1
389,visual\face_house\faces\Jodi_3.jpg,1,0
390,visual\face_house\houses\house11.3.jpg,0,0
391,visual\face_house\faces\Wallace_3.jpg,1,1
392,visual\face_house\faces\Tom_3.jpg,1,1
393,visual\face_house\faces\Joe_3.jpg,1,1
394,visual\face_house\faces\Joan_3.jpg,1,0
395,visual\face_house\houses\house10.3.jpg,0,0
396,visual\face_house\houses\house5.3.jpg,0,0
397,visual\face_house\faces\Blake_3.jpg,1,1
398,visual\face_house\houses\house6.3.jpg,0,1
399,visual\face_house\faces\Annie_3.jpg,1,0
400,visual\face_house\houses\house4.3.jpg,0,0
401,visual\face_house\faces\Annie_3.jpg,1,0
402,visual\face_house\faces\Joan_3.jpg,1,0
403,visual\face_house\houses\house1.3.jpg,0,0
404,visual\face_house\faces\Blake_3.jpg,1,1
405,visual\face_house\faces\Estelle_3.jpg,1,0
406,visual\face_house\faces\Estelle_3.jpg,1,0
407,visual\face_house\faces\Wallace_3.jpg,1,1
408,visual\face_house\faces\Estelle_3.jpg,1,0
409,visual\face_house\faces\Tim_3.jpg,1,1
410,visual\face_house\faces\Joan_3.jpg,1,0
411,visual\face_house\faces\Frank_3.jpg,1,1
412,visual\face_house\faces\Blake_3.jpg,1,1
413,visual\face_house\houses\house1.3.jpg,0,1
414,visual\face_house\faces\Wallace_3.jpg,1,1
415,visual\face_house\houses\house8.3.jpg,0,1
416,visual\face_house\faces\Estelle_3.jpg,1,0
417,visual\face_house\faces\Janie_3.jpg,1,0
418,visual\face_house\houses\house7.3.jpg,0,0
419,visual\face_house\houses\house1.3.jpg,0,0
420,visual\face_house\faces\Tom_3.jpg,1,1
421,visual\face_house\houses\house3.3.jpg,0,1
422,visual\face_house\houses\house5.3.jpg,0,1
423,visual\face_house\faces\Tim_3.jpg,1,1
424,visual\face_house\houses\house4.3.jpg,0,1
425,visual\face_house\faces\Joan_3.jpg,1,0
426,visual\face_house\faces\Tom_3.jpg,1,1
427,visual\face_house\faces\Joan_3.jpg,1,0
428,visual\face_house\houses\house7.3.jpg,0,0
429,visual\face_house\faces\Blake_3.jpg,1,1
430,visual\face_house\houses\house3.3.jpg,0,1
431,visual\face_house\houses\house4.3.jpg,0,1
432,visual\face_house\houses\house7.3.jpg,0,1
433,visual\face_house\faces\Joe_3.jpg,1,1
434,visual\face_house\faces\Jodi_3.jpg,1,0
435,visual\face_house\faces\Tom_3.jpg,1,1
436,visual\face_house\faces\Jodi_3.jpg,1,0
437,visual\face_house\houses\house8.3.jpg,0,0
438,visual\face_house\houses\house3.3.jpg,0,0
439,visual\face_house\faces\Tom_3.jpg,1,1
440,visual\face_house\faces\Jodi_3.jpg,1,0
441,visual\face_house\houses\house1.3.jpg,0,0
442,visual\face_house\houses\house5.3.jpg,0,0
443,visual\face_house\faces\Tom_3.jpg,1,1
444,visual\face_house\houses\house1.3.jpg,0,1
445,visual\face_house\faces\Joe_3.jpg,1,1
446,visual\face_house\houses\house10.3.jpg,0,1
447,visual\face_house\faces\Joe_3.jpg,1,1
448,visual\face_house\houses\house4.3.jpg,0,1
449,visual\face_house\houses\house1.3.jpg,0,1
450,visual\face_house\faces\Don_3.jpg,1,1
451,visual\face_house\houses\house6.3.jpg,0,1
452,visual\face_house\faces\Blake_3.jpg,1,1
453,visual\face_house\houses\house4.3.jpg,0,1
454,visual\face_house\houses\house6.3.jpg,0,1
455,visual\face_house\faces\Joe_3.jpg,1,1
456,visual\face_house\faces\Estelle_3.jpg,1,0
457,visual\face_house\houses\house12.3.jpg,0,0
458,visual\face_house\faces\Tom_3.jpg,1,1
459,visual\face_house\houses\house11.3.jpg,0,1
460,visual\face_house\faces\Frank_3.jpg,1,1
461,visual\face_house\faces\Jodi_3.jpg,1,0
462,visual\face_house\houses\house2.3.jpg,0,0
463,visual\face_house\faces\Blake_3.jpg,1,1
464,visual\face_house\faces\Tim_3.jpg,1,1
465,visual\face_house\houses\house2.3.jpg,0,1
466,visual\face_house\faces\Jodi_3.jpg,1,0
467,visual\face_house\faces\Jodi_3.jpg,1,0
468,visual\face_house\houses\house1.3.jpg,0,0
469,visual\face_house\houses\house10.3.jpg,0,0
470,visual\face_house\faces\Annie_3.jpg,1,0
471,visual\face_house\faces\Janie_3.jpg,1,0
472,visual\face_house\houses\house9.3.jpg,0,0
473,visual\face_house\faces\Estelle_3.jpg,1,0
474,visual\face_house\houses\house9.3.jpg,0,0
475,visual\face_house\faces\Don_3.jpg,1,1
476,visual\face_house\faces\Jodi_3.jpg,1,0
477,visual\face_house\houses\house8.3.jpg,0,0
478,visual\face_house\houses\house6.3.jpg,0,0
479,visual\face_house\faces\Annie_3.jpg,1,0
480,visual\face_house\houses\house8.3.jpg,0,0
481,visual\face_house\faces\Jodi_3.jpg,1,0
482,visual\face_house\houses\house1.3.jpg,0,0
483,visual\face_house\houses\house1.3.jpg,0,0
484,visual\face_house\faces\Joe_3.jpg,1,1
485,visual\face_house\faces\Don_3.jpg,1,1
486,visual\face_house\houses\house1.3.jpg,0,1
487,visual\face_house\faces\Annie_3.jpg,1,0
488,visual\face_house\faces\Tom_3.jpg,1,1
489,visual\face_house\faces\Wallace_3.jpg,1,1
490,visual\face_house\faces\Tim_3.jpg,1,1
491,visual\face_house\faces\Joan_3.jpg,1,0
492,visual\face_house\houses\house4.3.jpg,0,0
493,visual\face_house\houses\house6.3.jpg,0,0
494,visual\face_house\houses\house12.3.jpg,0,0
495,visual\face_house\faces\Estelle_3.jpg,1,0
496,visual\face_house\houses\house12.3.jpg,0,0
497,visual\face_house\houses\house2.3.jpg,0,0
498,visual\face_house\houses\house8.3.jpg,0,0
499,visual\face_house\faces\Blake_3.jpg,1,1
500,visual\face_house\faces\Don_3.jpg,1,1
501,visual\face_house\faces\Estelle_3.jpg,1,0
502,visual\face_house\faces\Blake_3.jpg,1,1
503,visual\face_house\houses\house6.3.jpg,0,1
504,visual\face_house\faces\Annie_3.jpg,1,0
505,visual\face_house\faces\Joe_3.jpg,1,1
506,visual\face_house\faces\Jodi_3.jpg,1,0
